,text,Id
0,RT @WeAreVOIK: Votes are trust of ppl .. protest against horse trading is the constitutional right of everyone .. Ppl love Skipper .. When…,1507364156101570571
1,"RT @_AsiwajuLerry: This is not a protest, this is myself and other youths taking it to the streets to ensure that there’s a PVC for everyon…",1507364155933790213
2,"“ This is going to be our home — and I’m not the best interior decorator , nor do I know how to properly fix half this shit. But I know you can. ”

Making to stand , his metal bones creak and grind in protest.",1507364155917017095
3,@Marianne573457 @OccupyDemocrats That’s imbecilic but may be OK in domestic or routine civil cases but when your corrupt  lecherous husband happens to sit on the body that has to rule on the case he’s a guilty as she is. #Dotard,1507364151890481162
4,RT @Shaad_Bajpe: Heated argument between Mangalore University Student cordination Committee leaders and police officers during today's prot…,1507364151299309574
5,Pro-democracy residents of Kale marched once again and demonstrated a persistent protest to overthrow military regime today.   #US_SanctionMOGE #GenocidalMilitary #2022Mar25Coup #WhatsHappeningInMyanmar https://t.co/uEv4nJakdV,1507364150967742473
6,RT @strujillo075: Jan. 6 Protest Organizers Say They Participated in ‘Dozens’ of Meetings With Members of Congress  -- Including Marjorie T…,1507364150665752585
7,RT @manc_up: If we must stand in silence there is no right to protest. The police courts and sentencing bill threatens to take away our fre…,1507364150099521548
8,RT @BJP4Keralam: BJP's protest march demanding safety of Women in Kerala at Thiruvananthapuram https://t.co/fLInrecylO,1507364149625765889
9,@CGasparino It doesn't matter Charles... This is not just a investment. This is a way to protest dirty wallstreet system.,1507364149113720836
10,RT @soobinshine2: yesterday when ni-ki and sunoo was fighting to be a judge jake softly told “sunoyahh come sit next to me” while showing h…,1507364147813842944
11,"RT @WinPhyuThant5: In Shweyekyi village, Yinmarbin township , a protest went on to oppose military dictatorship today.   #US_SanctionMOGE #…",1507364144961527817
12,"RT @dzoolander85: Retired politicians should not be legally allowed to sit on the boards of #Canada's corporations.

Our system is inherent…",1507364144709783557
13,Pro-democracy residents of Kale marched once again and demonstrated a persistent protest to overthrow military regime today.   #US_SanctionMOGE #GenocidalMilitary #2022Mar25Coup #WhatsHappeningInMyanmar https://t.co/zriRoYgydH,1507364143422410759
14,"RT @MarieSnyder27: Yes, you definitely have the right and the freedom to ditch the mask, like you also have the right and the freedom to ju…",1507364140725252118
15,RT @jsolomonReports: Not so magical: Disney walkout flops as more turn out against Florida ‘Don’t Say Gay’ bill in L.A. than in Orlando | J…,1507364140062494721
16,"RT @puffpandas: Welcome to the world of Puff Puff Pandas! Sit down, roll a joint, and listen to how it all started!

Puff on in and invite…",1507364139932401664
17,I personally love the juxtaposition of this article and the one following it talking about Trudeau being a dictator. The sun can't even be coherent in their messaging https://t.co/yI3GqygIaC,1507364139341172740
18,"@TheRickWilson I think they would freak out if a justice's spouse was in a BLM protest, even if completely peaceful. 

Not sure what culpability Thomas has for his wife's actions, but I understand he didn't recuse himself from a filling that included her texts and emails. That's concerning.",1507364138124603398
19,RT @Joanmmash: As I sit in my office and tell the mining guys to follow that reef😝😝 https://t.co/xHO4Z9aQTk,1507364135922712582
RT @OccupyDemocrats: BREAKING: Alex Jones is now facing a warrant for his arrest after defying a court order ordering him to sit for a depo…,1507366804678610945
"""People just dont want to work, would rather just sit at home and get all that govt money""

Unemployment is at 3.8%. There were less than 2 million claims made in February. But yes, please keep telling me that the reason we can't find employees isn't that we pay shit wages",1507366803915395076
Can't be more proud that to see President Biden sit down with American troops and have pizza in Poland.  Wow!,1507366802480775169
RT @imVickyMansa: One can experience health benefit in his life by adding 1-2 hours of meditation in their daily schedule. Because the secr…,1507366800786288640
"@Ostrov_A @UN_Women @UN Scandalous. As if is scandalous that Israel, who is violating since decades quite a few UNSC Resolutions, can still sit in the General Assembly and is not facing any sanction.",1507366800320655360
"""Well, if you're starting to eat, I'm gonna sit down and have something to eat.""

Pres. Biden eats pizza with service members in Rzeszow, Poland. https://t.co/T2u7KQS2NG https://t.co/eQA5sWkPjD",1507366796009091075
"RT @JimMurp77852985: Who in the PMO thought that Trudeaus speech was a good idea, we are on the brink of WWIII and he lectures about the th…",1507366794385711120
"@ObbiesGurl @Biddyone11 @BahdBarbee @lacountydcfs I have never seen a 3hr visit!   An hour can be a long time for most. The chairs are uncomfortable, it can be a pretty tense atmosphere, plus he smokes etc.   He is not going to sit there and watch Prince sleep either. He just doesn’t have it in him!",1507366793618239489
"RT @Belstaffie: #WPUKManchester. The “trans rights” protest against WPUK, set off from St Peter’s Sq, chanting “Terf scum off our streets”.…",1507366791697223684
@sh3ffb I’m literally LOLing right now. 6’4 for your mind abi?? Let me just sit back and laugh in my corner,1507366783443177477
"@BasnayakeM Is that person in khaki uniform is a cop? I thought someone dressed for Halloween. When the mothers in North protest on MR's visit, the uniformed personal used all sort of force to dismantle them. Male police handled the female protesters as their concubines. One country, f.. LAW",1507366781949784067
@KevinSixx13 You know why. methinks thou dost protest too much,1507366780100042752
RT @Aja02537920: @Belstaffie @AndyBurnhamGM @Womans_Place_UK Where only white people allowed to protest or is that a very telling coinciden…,1507366779324149774
